"sampleID","scientificName","collectDate.x","siteID.x","inv.density"
"ARIK.20160331.KICKNET.5","Trichoptera sp.",2016-03-31 15:41:00,"ARIK",4
"ARIK.20160713.KICKNET.1","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",40
"ARIK.20160713.KICKNET.2","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",10
"ARIK.20160713.KICKNET.5","Ephemeroptera sp.",2016-07-13 15:24:00,"ARIK",60
"ARIK.20160919.CORE.2","Plecoptera sp.",2016-09-19 22:06:00,"ARIK",166.666666666667
"ARIK.20170322.KICKNET.1","Ephemeroptera sp.",2017-03-22 15:30:00,"ARIK",12
"ARIK.20171010.KICKNET.1","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",96
"ARIK.20171010.KICKNET.2","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",4
"ARIK.20171010.KICKNET.4","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",16
"ARIK.20171010.KICKNET.5","Trichoptera sp.",2017-10-10 15:05:00,"ARIK",8
"ARIK.20180712.KICKNET.4","Ephemeroptera sp.",2018-07-12 13:00:00,"ARIK",12
"ARIK.20181002.CORE.1","Ephemeroptera sp.",2018-10-02 13:26:00,"ARIK",166.666666666667
"ARIK.20210713.KICKNET.1","Ephemeroptera sp.",2021-07-13 15:09:00,"ARIK",20
"ARIK.20210713.KICKNET.2","Ephemeroptera sp.",2021-07-13 15:09:00,"ARIK",20
"COMO.20160906.SURBER.1","Trichoptera sp.",2016-09-06 16:05:00,"COMO",86.0215053763441
"COMO.20160906.SURBER.2","Trichoptera sp.",2016-09-06 16:05:00,"COMO",10.752688172043
"COMO.20160906.SURBER.3","Ephemeroptera sp.",2016-09-06 16:05:00,"COMO",107.52688172043
"COMO.20160906.SURBER.3","Plecoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20160906.SURBER.3","Trichoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20160906.SURBER.4","Plecoptera sp.",2016-09-06 16:05:00,"COMO",376.344086021505
"COMO.20160906.SURBER.5","Plecoptera sp.",2016-09-06 16:05:00,"COMO",53.7634408602151
"COMO.20170803.SURBER.4","Plecoptera sp.",2017-08-03 15:29:00,"COMO",107.52688172043
"COMO.20170830.SURBER.2","Trichoptera sp.",2017-08-30 15:26:00,"COMO",53.7634408602151
"COMO.20170830.SURBER.3","Plecoptera sp.",2017-08-30 15:26:00,"COMO",258.064516129032
"COMO.20180605.SURBER.3","Plecoptera sp.",2018-06-05 16:06:00,"COMO",21.505376344086
"COMO.20180605.SURBER.5","Plecoptera sp.",2018-06-05 16:06:00,"COMO",10.752688172043
"COMO.20180807.SURBER.1","Plecoptera sp.",2018-08-07 15:52:00,"COMO",53.7634408602151
"COMO.20180807.SURBER.1","Trichoptera sp.",2018-08-07 15:52:00,"COMO",53.7634408602151
"COMO.20180807.SURBER.2","Plecoptera sp.",2018-08-07 15:52:00,"COMO",172.043010752688
"COMO.20180807.SURBER.3","Plecoptera sp.",2018-08-07 15:52:00,"COMO",86.0215053763441
"COMO.20180807.SURBER.4","Plecoptera sp.",2018-08-07 15:52:00,"COMO",139.784946236559
"COMO.20180807.SURBER.5","Plecoptera sp.",2018-08-07 15:52:00,"COMO",215.05376344086
"COMO.20180829.SURBER.1","Plecoptera sp.",2018-08-29 14:39:00,"COMO",172.043010752688
"COMO.20180829.SURBER.2","Ephemeroptera sp.",2018-08-29 14:39:00,"COMO",21.505376344086
"COMO.20180829.SURBER.2","Plecoptera sp.",2018-08-29 14:39:00,"COMO",21.505376344086
"COMO.20180829.SURBER.3","Plecoptera sp.",2018-08-29 14:39:00,"COMO",86.0215053763441
"COMO.20180829.SURBER.4","Plecoptera sp.",2018-08-29 14:39:00,"COMO",172.043010752688
