Date,ppt (mm),tmean (degrees C)
2008-11,18.75,-1.1
2008-12,49.36,-8.3
2009-01,38.76,-7.6
2009-02,17.81,-6.4
2009-03,27.02,-2.4
2009-04,48.19,0.9
2009-05,35.1,8.1
2009-06,61.02,10.5
2009-07,32.68,14.2
2009-08,16.51,13.2
2009-09,26.34,10.3
2009-10,34.02,1.7
2009-11,8.41,-1.3
2009-12,25.06,-11.3
2010-01,7.19,-9.4
2010-02,23.5,-9.8
2010-03,13.2,-3.4
2010-04,59.03,2
2010-05,53.77,5.5
2010-06,31.45,12.6
2010-07,33.52,15.5
2010-08,41.18,14.5
2010-09,18.42,11.2
2010-10,63.29,5.2
2010-11,31.92,-3.8
2010-12,37.94,-5.2
2011-01,22.47,-10
2011-02,32.63,-9.7
2011-03,52.29,-2.3
2011-04,66.24,1.2
2011-05,44.37,5
2011-06,34.4,11.7
2011-07,54.69,15.6
2011-08,33.28,15.5
2011-09,34.19,10.3
2011-10,42.49,3.8
2011-11,28.79,-4
2011-12,6.41,-9.1
2012-01,16.15,-7.9
2012-02,28.76,-7.3
2012-03,7.74,0.1
2012-04,16.35,5
2012-05,26.24,8.4
2012-06,2.99,14.8
2012-07,70.61,16.3
2012-08,20.53,15.1
2012-09,30.6,10.9
2012-10,27.38,4.2
2012-11,3.59,-0.5
2012-12,30.21,-8.7
2013-01,14.18,-12.3
2013-02,22.21,-10.1
2013-03,25.17,-4.1
2013-04,69.15,-0.2
2013-05,51.53,7.1
2013-06,2.39,13.4
2013-07,55.19,15.8
2013-08,26.79,14.8
2013-09,81.46,11.8
2013-10,35.54,2.6
2013-11,22.14,-2.3
2013-12,33.27,-10.5
2014-01,50.94,-9.4
2014-02,36.85,-5.6
2014-03,28.38,-2.6
2014-04,29.44,1.6
2014-05,63.03,6.8
2014-06,6.29,11.8
2014-07,41.88,15.7
2014-08,51.14,13.2
2014-09,71.91,11.4
2014-10,23.38,5.6
2014-11,37.49,-3.3
2014-12,37.93,-6.3
2015-01,6.39,-6.8
2015-02,26.55,-4.3
2015-03,15.13,-0.3
2015-04,27.24,3
2015-05,74.47,6.2
2015-06,16.18,14.2
2015-07,50.86,14.5
2015-08,22.19,14.9
2015-09,19.72,11.6
2015-10,32.58,6.6
2015-11,38.58,-3.3
2015-12,34.25,-9.1
2016-01,23.73,-10.4
2016-02,16.24,-6.2
2016-03,38.35,-2.5
2016-04,40.84,2.3
2016-05,65.37,6.4
2016-06,18.21,14.5
2016-07,30.77,15.9
2016-08,32.05,13.6
2016-09,11.73,11.3
2016-10,28.81,6.2
2016-11,20.26,0.7
2016-12,49.93,-8.6
2017-01,44.67,-9.5
2017-02,26.07,-2.6
2017-03,14.15,1.5
2017-04,44.01,2.6
2017-05,54.49,6.5
2017-06,8.92,13.5
2017-07,32.32,16.4
2017-08,26.15,14.2
2017-09,19.13,11.1
2017-10,52.45,3.4
2017-11,30.38,1.4
2017-12,19.81,-5.6
2018-01,18.79,-6.7
2018-02,31.73,-5.2
2018-03,21.75,-2
2018-04,35.47,3
2018-05,26.91,9.3
2018-06,15.68,14
2018-07,16,16.7
2018-08,37.31,14.7
2018-09,7.67,11.7
2018-10,48.37,4
2018-11,33.17,-5.2
2018-12,14.86,-9.2
2019-01,22.99,-9.4
2019-02,20.68,-8.7
2019-03,56.19,-3.9
2019-04,46.61,3.3
2019-05,53.68,4.8
2019-06,54.06,10.8
2019-07,17.1,15.7
2019-08,11.62,15.5
2019-09,23.68,12.4
2019-10,38,0.3
2019-11,19.03,-2.7
2019-12,27.53,-9.3
2020-01,15.76,-8.4
2020-02,54.97,-10.1
2020-03,15.35,-1.6
2020-04,42.31,1.7
2020-05,28.66,8.4
2020-06,26.4,12.7
2020-07,15.37,15.1
2020-08,6.2,16.1
2020-09,8.88,10.8
2020-10,25.58,4.1
2020-11,25.07,-1.9
2020-12,18.78,-9.1
2021-01,11.08,-7.7
2021-02,39.49,-6.5
2021-03,34.51,-3.1
2021-04,33.06,1.8
2021-05,50.24,7.7
2021-06,19.54,15
2021-07,26.95,17.4
2021-08,38.72,14.9
2021-09,37.21,12.3
2021-10,19.8,4.6
2021-11,15.01,1
2021-12,55.22,-4.7
2022-01,38.3,-10.6
2022-02,22.21,-10.3
2022-03,19.16,-4.3
2022-04,24.62,1.3
2022-05,57.91,7
2022-06,21.75,12.9
2022-07,43.17,16.5
2022-08,48.51,15.8
2022-09,14.33,13.1
2022-10,32.96,4.3
2022-11,23.97,-5.5
2022-12,53.98,-9.3
2023-01,44.84,-8.1
2023-02,12.19,-10.2
2023-03,42.93,-6.7
2023-04,20.83,-0.3
2023-05,28.67,8.8
2023-06,54.79,11
2023-07,34.6,16
2023-08,72.31,15.2
2023-09,13.66,11.4
2023-10,27.92,5.1
